100,Marnia,1976-03-27,1944-12-28,384.2,JyWcHNiEQCqwhePXxeayyGESkzWOgxbRpuDW cRQwtUwjGnahKN dWhowdWBDOOISDcyBwwlFDvfzkbwI PhzmEVdVYwzYIGLaWjGXSCjnzya rZGedMQKUdxiGBAgfESWrqdu DKZvQfyRBm sftIspc lAoa,07:50,8:27,1,4965.35
101,Vinita,1908-11-05,1995-11-25,578.92,fnztFYRqqWbmBbFJfcULGNtqGEfAXidHgigxFYLyYJYfptELCPVNftNolTMLOntRYpEssmDHmWXvYWwcRakHPPbLR RsIQQeIJsPzzEgMOvetiHOqrgnEvtGIFOSErsvcphhzCZNYrXZQzRqOLVxevaIkMPWBEcOQPNjFRPaJTpgTAMCpKiH WnEgR iIzAYbQXxjuarlj fWAqkONNLlLLIklgWP GUrikmzkF mZJC,20:35,21:03,2,7352.08
102,Alia,1988-01-08,1946-12-09,3.11," CRpYusXDbAAGTNcYYaM FuduJAxKHdtMpVWpTfCmwnvDPXvOXsmqMnD sRhlQ toSwcQpbiXUm RZWKbrtOmwOhwuDyoibdNfssUYOzMCEyxpK xpTdvpgUJdGTKXmLUTvyHNCEETyOcoTSdh",22:26,23:20,3,3896.66
103,Correy,1916-03-29,2014-03-03,767.41,hWfMPnUzzC gKdyXFRIRrogRIPDompEgXyfSUVODPKYxLSkywJeeNCzKIkNiubjRPNHbSaIfsjyDgHpscebgQeKFMLsNiJgzsOPgqwpdSrtTcMlkzRBiPinrTCDEjIzPIMBfrhmaXtutAcWMbGdGrffxVJGKnziEhbNVmwmQZqotliKxVuncLjrhRuZAqoQZXvhJFjnGaSYOlTHKQvzFZWSOG coM PCEsYzzEAy,07:56,15:05,4,3804.61
104,Ginnie,1945-10-21,1938-04-08,968.45,EQFljUWrRzuisTVMWgJkjTgjfKtbQmoUvFnawaFMzxGTXNEIbrQyBHXYfcSWfoDLHcrKaNokXVFMzuhUPnPmJtjqBKCqHmWRaDLvDpXvdnpe oqTDaJFdZFX CPWsvyFXbxAJcfNEauxaVqldbhYMgg Ir mWuHcdlxrkJsEsPngHWOXlWsLkBPUGyuPznCQUQeAtuJKAMn BKAjRfPK WlqROLTjHScBPwkxqzFVRUXXukdnA,23:40,07:17,5,6950.3
105,Consuela,1906-01-21,2004-11-26,552.9,sMiGzkUlzTtAe QrHRCPxqKqJLgIUEJWSqWOTkuU SWrLvVNbIUBxbqDDXuAAJohHuNWHTmTVRfLthqEjOJjnFWkBCjzCKkbVpaCzPGCadfRdtxVBNutSQTJftHVhuVHbqRIHzqaUkva qsfJqKAmfWoHYgKhGwmeopannmOOqhsMRcovZuFMjzbMrmsIaisNdWijEKLpViQNWeJpwoYNj,23:24,23:47,6,9122.37
106,Lilith,1969-02-17,1958-12-17,946.57,dWOFKoziFBWjfAnhIo DAtFWzr TdpuuEiStZthkuTKZKLfipKtJzKFMZRKQflSFYNJmCkLljghjeftPomxEHZnJebTPHoqJdWOMigzOCfgNHfEQwpGgTttZQluoCuFuLyYbtXbhJpJtKkzx,22:18,22:50,7,2341.78
107,Kial,1915-04-10,1968-07-31,77.53,EsjyzKTcrzsXblFSDBrCylcLOEolLrcOVTyEXAlIBIbBYpvxFQTfamkAaSuJpdYuXMJXiYdcGMuMXXQGCgxkvxpsHOizHIHllBhEgFZaJQKOXvpTWSPAGszSCpYuXZsUriCxrVzSFPEXsfzQDHXlYCwbVgTCZA x UjwbUxCufIDyVdiEBBPpXLEZakEYIKvSyBQaqemdnDKVJlxRgcxuaMClIBaV tZ,21:30,20:01,8,7485.93
108,Dyann,1956-09-20,1912-01-05,669.63,ocEaxohfvtQ aKHwdVPiBFFf CUgrkZykUrIwwyWKLqRYBSsXLxLIerVXpZYclAbtyAFAjt gUQXIknxxAKkwbUfo WBZrRnHnoQgThFaFWwClAxMfBXuYiQzHlQyzCSWbzStJpQ KpvqHxXzHTcYkWC myPrvmfxjlpNKMFBQPOwbNjjRKeWxvobCNJ,06:28,20:14,9,3655.35
109,Quintina,1932-07-15,2015-09-21,949.21,XyFdkEPQdDTmKuUWjQhzrISnhjKtVhTzMiJfKvYhCVXY PPjkmkruvBbMxPXbIblq lrUfFQayS GFgSjSkRBSbrnebahjomyouABGXeDEuqDXmkLztuPHfwRYLPKpoqxAlHtRfoMpGStzQafcACmlawavBJmJKJGEdse,05:04,18:44,10,1286.44
